,avg_cv_fit_time,avg_cv_geometric_mean,avg_cv_f1,avg_cv_predict_time,model_name,case,avg_cv_balanced_accuracy
45,3.6136799335479735,0.5253525114813477,0.5558545885290656,0.01594810485839844,Ridge+LogisticRegression,ternary_negneu,0.5508684401235013
46,23.641213512420652,0.5288640333865378,0.5633116840281146,0.02532773017883301,Ridge+MLP,ternary_negneu,0.5573243326237531
47,1.8599662780761719,0.5283231766361863,0.5570252481242565,0.013222074508666993,Ridge+Ridge,ternary_negneu,0.5529202968695197
48,6.723301029205323,0.5250384630084002,0.5490389545063431,0.07534317970275879,Ridge+SGD,ternary_negneu,0.5482281929578076
49,10.27662763595581,0.530038336349653,0.5749465968181559,1.9349342823028566,Ridge+SVC,ternary_negneu,0.5626844104052733
50,10.128054523468018,0.5387193803259156,0.5656763590255911,0.080609130859375,SGD,ternary,0.5570244366449709
51,5.600833082199097,0.6299642923755606,0.6329592531743783,0.06876463890075683,SGD,negative,0.6336479908433768
52,5.829731464385986,0.72304370069179,0.793063763801042,0.07350406646728516,SGD,neutral,0.7348572985382876
53,5.830932331085205,0.0,0.398327398411773,0.07489995956420899,SGD+Dummy,ternary_negneu,0.4842585268314548
54,24.076761388778685,0.5231303224046606,0.5663812910418885,0.19537529945373536,SGD+LGBM,ternary_negneu,0.5490006634666964
55,8.320943450927734,0.5302575034994028,0.5634064261424943,0.08287363052368164,SGD+LogisticRegression,ternary_negneu,0.5512863307818138
56,28.348477029800414,0.5340794120057165,0.572900614474167,0.09225325584411621,SGD+MLP,ternary_negneu,0.558602145621152
57,6.567229795455932,0.5331893686000675,0.5630221186667878,0.0801476001739502,SGD+Ridge,ternary_negneu,0.5526426616367048
58,11.430564546585083,0.5278480141179538,0.5547797576445624,0.14226870536804198,SGD+SGD,ternary_negneu,0.5468719339602197
59,14.983891153335572,0.533948273214001,0.5832286203661186,2.0018598079681396,SGD+SVC,ternary_negneu,0.562874250352843
60,9.154159688949585,0.6656173550246066,0.6760707569192517,1.9283557415008545,SVC,negative,0.6714723617880385
61,24.995111560821535,0.5128823093877132,0.6004777046506736,2.4299449920654297,SVC,ternary,0.5553475641117049
62,16.298070096969603,0.644017180910491,0.8055111996170462,1.5150200366973876,SVC,neutral,0.6925579364081227
63,16.29927096366882,0.0,0.39410086636329345,1.5164159297943114,SVC+Dummy,ternary_negneu,0.4596439991794982
64,34.5451000213623,0.5047489389027562,0.5692218102541103,1.6368912696838378,SVC+LGBM,ternary_negneu,0.528401946492029
65,18.789282083511353,0.5095016335834043,0.563697379968753,1.524389600753784,SVC+LogisticRegression,ternary_negneu,0.5292472843060122
66,38.81681566238403,0.5143132482711342,0.5762560952823179,1.5337692260742186,SVC+MLP,ternary_negneu,0.5387261198779296
67,17.03556842803955,0.5126084506139033,0.5643249976584739,1.5216635704040526,SVC+Ridge,ternary_negneu,0.5314871331413584
68,21.8989031791687,0.5068641927797806,0.5552246663828114,1.5837846755981444,SVC+SGD,ternary_negneu,0.524931694911992
69,25.452229785919187,0.5161029680322163,0.5877880122597154,3.4433757781982424,SVC+SVC,ternary_negneu,0.5440499016459274
