,model_name,case,geometric_mean,f1,balanced_accuracy,fit_time,predict_time
40,LogReg+LDA,ternary_negneu,0.519411013731202,0.5749027994887793,0.5441433867462242,49.84949507713318,0.08956589698791503
41,SGD+Ridge,ternary_negneu,0.519081546974849,0.5694926176920132,0.5474750036558393,23.502918863296507,0.0801468849182129
42,Ridge+SGD,ternary_negneu,0.518885474039753,0.5693285894399251,0.5454654547797448,27.33488965034485,0.07729067802429199
43,SGD+LDA,ternary_negneu,0.5156685983486488,0.5696472654157245,0.5460961464812194,53.14594650268555,0.08815059661865235
44,SVC+LDA,ternary_negneu,0.5187472895355657,0.5818800159929913,0.5308304842142108,483.0577619075775,43.43719310760498
45,LogReg+LogReg,ternary_negneu,0.5182286317613848,0.5727595662115437,0.5427041812825395,25.629065465927127,0.09076685905456544
46,SVC+LogReg,ternary_negneu,0.5179964799460798,0.5790663281396026,0.5291908672621524,458.83733229637147,43.43839406967163
47,Dummy+Dummy,ternary_negneu,0.0,0.20480949277389704,0.3333333333333333,0.003799772262573242,0.0015988349914550781
48,Ridge+LDA,ternary_negneu,0.5170675676793954,0.5746816752365521,0.546673618905185,42.092606115341184,0.08376197814941407
49,SVC+SVC,ternary_negneu,0.5168638517715132,0.5989436917856473,0.5387985582063985,766.6180050849914,94.79141745567321
50,Ridge+LogReg,ternary_negneu,0.5164151135529356,0.5716200760989185,0.5449517537058647,17.872176504135133,0.08496294021606446
51,SGD+SGD,ternary_negneu,0.5162290152374738,0.5648442140419353,0.5449245260937627,38.38823003768921,0.08167929649353027
52,SVC+SGD,ternary_negneu,0.5186808057839307,0.5759461902289857,0.5285685689622454,468.30004544258117,43.43072180747986
53,LDA+SGD,ternary_negneu,0.5179363035880294,0.5684192928021725,0.5447222192236209,70.08028283119202,0.07532143592834473
