,avg_cv_balanced_accuracy,case,dim_red,avg_cv_geometric_mean,avg_cv_f1,avg_cv_fit_time,model_name,avg_cv_predict_time
66,0.5293410948684332,ternary,LDA,0.48758436628893653,0.5041416861097744,0.031232690811157225,PassAgg,0.0
67,0.5606178267645429,ternary,LDA,0.5487841212981265,0.550863571697275,0.009371757507324219,Ridge,0.0
68,0.5582883628430637,ternary,LDA,0.5438064312048598,0.5412879616487614,0.0500030517578125,SGD,0.0
69,0.5599550848946395,ternary,LDA,0.5451806722037837,0.537839434336101,2.5938971996307374,SVC,0.04687314033508301
70,0.40847993266673066,ternary,SRP,0.37007227612678373,0.47422472993230735,340.67556977272034,Bagging,0.37424216270446775
71,0.3333333333333333,ternary,SRP,0.0,0.12959680215692168,0.0,Dummy,0.0
72,0.4328922674417111,ternary,SRP,0.3562398261712511,0.4945797536617822,4.741184854507447,ExtraTrees,0.08124217987060547
73,0.5524446381223987,ternary,SRP,0.5359916247209908,0.5575486241769101,7.760340595245362,LDA,0.009377622604370117
74,0.556290257031903,ternary,SRP,0.5410846444134834,0.5683970869797577,4.766320705413818,LogReg,0.03391108512878418
75,0.559854609424161,ternary,SRP,0.532758275683036,0.599559356203544,53.936308193206784,MLP,0.025005531311035157
76,0.5250520533517282,ternary,SRP,0.5062431303512784,0.5424083766127492,4.7129449367523195,PassAgg,0.012476110458374023
77,0.5562948395208107,ternary,SRP,0.5391669529473029,0.5586068859216582,0.9406129837036132,Ridge,0.00938100814819336
78,0.554572925249086,ternary,SRP,0.5397645474099068,0.5690108949037883,6.300616931915283,SGD,0.0062485218048095705
79,0.5498023921853228,ternary,SRP,0.5087083823246477,0.5966327698858593,31.332879543304443,SVC,2.3221445083618164
80,0.3954701064721348,ternary,iPCA,0.3423180158163908,0.47212587222591457,452.6542739391327,Bagging,1.7033337593078612
81,0.3333333333333333,ternary,iPCA,0.0,0.18304514347583395,0.0,Dummy,0.0031177520751953123
82,0.351594647270432,ternary,iPCA,0.15775120933195502,0.4290313491404062,5.9354170799255375,ExtraTrees,0.09374837875366211
83,0.5427755436849947,ternary,iPCA,0.5215294761824839,0.5727308010282519,15.07591953277588,LDA,0.006853723526000976
84,0.5233532693415969,ternary,iPCA,0.5093366081799736,0.5605550604068383,5.744533205032349,LogReg,0.006247806549072266
85,0.5251206574716153,ternary,iPCA,0.4898816006141023,0.5759525560185201,44.22182121276855,MLP,0.025005102157592773
86,0.530960598872962,ternary,iPCA,0.5157858784641407,0.5640345522785045,6.087925958633423,PassAgg,0.009357023239135741
87,0.5447919822689276,ternary,iPCA,0.525282670372157,0.5716648268140612,1.7032021522521972,Ridge,0.012502431869506836
88,0.5186867276534967,ternary,iPCA,0.4985439391414899,0.5659961303424483,17.728695106506347,SGD,0.015619325637817382
89,0.43591153820264006,ternary,iPCA,0.2934363704835918,0.5116646787695196,50.70378298759461,SVC,4.122424602508545
90,0.5113670451749222,ternary_negneu,LDA,0.4925604508061193,0.49598324658492504,0.371380090713501,Bagging+Bagging,0.01780095100402832
91,0.46459017196074176,ternary_negneu,LDA,0.0,0.19798297059361683,0.22198095321655273,Bagging+Dummy,0.006638240814208984
92,0.5111494460909917,ternary_negneu,LDA,0.4912042453861842,0.4987539056533602,0.848795747756958,Bagging+ExtraTrees,0.06701617240905762
93,0.5225520716439699,ternary_negneu,LDA,0.5025885264168743,0.5172643084767768,0.23135313987731934,Bagging+LDA,0.006638240814208984
94,0.5221285007493968,ternary_negneu,LDA,0.5022052940621976,0.5164424141863783,0.24384684562683104,Bagging+LogReg,0.006638240814208984
95,0.5225203968020791,ternary_negneu,LDA,0.50339022880522,0.5155865855207478,1.7127553939819335,Bagging+MLP,0.016013097763061524
96,0.5185936881148572,ternary_negneu,LDA,0.4950836192598319,0.508684105318375,0.22198095321655273,Bagging+PassAgg,0.006638240814208984
97,0.5221122703312596,ternary_negneu,LDA,0.5002751083528609,0.5193577369689281,0.23447003364562988,Bagging+Ridge,0.006638240814208984
98,0.5204823599466233,ternary_negneu,LDA,0.4977038722585253,0.5163619483985168,0.2375988483428955,Bagging+SGD,0.006638240814208984
99,0.5217937203873394,ternary_negneu,LDA,0.5024098550715743,0.5142376147899885,1.6409539699554443,Bagging+SVC,0.022262382507324218
100,0.356795528704481,ternary_negneu,LDA,0.0,0.25103037739857614,0.15039238929748536,Dummy+Bagging,0.011363029479980469
101,0.3333333333333333,ternary_negneu,LDA,0.0,0.08404727724783659,0.0009932518005371094,Dummy+Dummy,0.00020031929016113282
102,0.35742060193244823,ternary_negneu,LDA,0.0,0.25380199597633374,0.6278080463409423,Dummy+ExtraTrees,0.06057825088500977
103,0.3631139274435234,ternary_negneu,LDA,0.0,0.2607437515859355,0.010365438461303712,Dummy+LDA,0.00020031929016113282
104,0.36263630952225934,ternary_negneu,LDA,0.0,0.25991577790452397,0.02285914421081543,Dummy+LogReg,0.00020031929016113282
105,0.3627175831744151,ternary_negneu,LDA,0.0,0.25981775968170273,1.491767692565918,Dummy+MLP,0.009575176239013671
106,0.36223830103834065,ternary_negneu,LDA,0.0,0.26619798688426677,0.0009932518005371094,Dummy+PassAgg,0.00020031929016113282
107,0.3628911571822017,ternary_negneu,LDA,0.0,0.2615967148185444,0.013482332229614258,Dummy+Ridge,0.00020031929016113282
108,0.3626178454522093,ternary_negneu,LDA,0.0,0.2634612016557433,0.016611146926879882,Dummy+SGD,0.00020031929016113282
109,0.3626918076911042,ternary_negneu,LDA,0.0,0.25982998702389015,1.4199662685394288,Dummy+SVC,0.01582446098327637
110,0.5181520343807704,ternary_negneu,LDA,0.4975835660242778,0.49903632209619175,0.9420485496520996,ExtraTrees+Bagging,0.0721238136291504
111,0.4711330927368186,ternary_negneu,LDA,0.0,0.20043062327675312,0.7926494121551514,ExtraTrees+Dummy,0.06096110343933105
