,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
222,LogReg_balacc,ternary,10+30,0.47979987795469003,0.2275959298389732,0.4888585741022222,0.4779029002484041,0.6693037602668397,130.40057864189149,0.00020031929016113282
223,LogReg_balacc,ternary,10+20+30,0.47955431227355705,0.2274120669573383,0.48853982497805626,0.4778723494348376,0.6698313072681994,242.3136356830597,0.003163719177246094
224,LogReg_balacc,ternary,30,0.4786289335020129,0.23064433667909032,0.4872040634152026,0.479856047214937,0.6689747379398648,48.307554721832275,0.00020003318786621094
225,LogReg_balacc,ternary,20+30,0.47850205231682186,0.22324285655273252,0.4869189348349091,0.47471447095134434,0.6674446920307356,186.53155250549315,0.0004014015197753906
226,LogReg_balacc,ternary,10+20,0.47410789486754856,0.22321403778350896,0.4835337420114426,0.47540066525712976,0.6669994099311374,139.79058513641357,0.00020003318786621094
227,LogReg_balacc,ternary,30+LDA,0.5029360329536211,0.26719749838641615,0.5101523778925576,0.505194650956988,0.6926346303869353,42.38096837997436,0.0004009723663330078
228,LogReg_balacc,ternary,20,0.4731643905763507,0.22330332118297108,0.48256423166262835,0.4758185815160859,0.6667872437858409,50.58087911605835,0.0009948253631591798
254,LogReg_balacc,ternary,10,0.46570425881431576,0.2162811670350932,0.4757028371159443,0.47154097775633214,0.6610679072341721,49.77000484466553,0.0007959365844726563
256,LogReg_f1,ternary,10+30+LDA,0.5121718603842618,0.24916690417437123,0.5142703232049074,0.4847983187883875,0.693206186888099,55.08468322753906,0.000415802001953125
257,LogReg_f1,ternary,20+30+LDA,0.5110085082024768,0.24554004334090584,0.5126133597427602,0.4824036558193458,0.6910604795914808,73.3011740207672,0.0035010814666748048
258,LogReg_f1,ternary,30+LDA,0.50989052872086,0.2504312478254104,0.5117770742672614,0.4853315035092584,0.6923770539173837,23.333562994003294,0.0005952835083007813
259,LogReg_f1,ternary,LDA,0.5095636975574898,0.2466337785055809,0.5123467156160454,0.48459821680097015,0.6906093449482207,99.44860172271729,0.000399017333984375
260,LogReg_f1,ternary,10+20+LDA,0.5084760997460556,0.24660737859778997,0.5108498677885459,0.4833381574620484,0.6913937699204327,58.31998195648193,0.0003938198089599609
263,LogReg_f1,ternary,20+LDA,0.506161631103822,0.24530055684862226,0.508546613703697,0.48264700677265193,0.6908383885610239,24.359021425247192,0.0004028797149658203
267,LogReg_f1,ternary,10+LDA,0.5024148448708231,0.24199891438440443,0.5053311867478819,0.4809594441328474,0.6870390784375227,23.958439302444457,0.0004000663757324219
270,LogReg_f1,ternary,LDA+LOF-PCA,0.5123649425552665,0.24980154671015375,0.5146522931255328,0.4857607115087186,0.6936972020061776,100.37387542724609,0.003159332275390625
272,LogReg_f1,ternary,LOF-PCA,0.48088428448501325,0.22933607919857021,0.4900211478365987,0.47989614948733195,0.670264030346959,100.68144717216492,0.0006006240844726562
275,LogReg_f1,ternary,10+20+30,0.47976792298611387,0.22718511271885275,0.4887608804225077,0.47778682208588774,0.6697389470000176,110.05642509460449,0.0
277,LogReg_f1,ternary,10+30,0.47944620453721865,0.2271310350207504,0.4884991237269328,0.4776158281344614,0.6692077666249053,63.32339105606079,0.0007862567901611329
278,LogReg_f1,ternary,30,0.4786470130842807,0.2306771936360096,0.487219690213281,0.4798806525726421,0.6689743441949332,26.03746008872986,0.0005972862243652343
281,LogReg_f1,ternary,20+30,0.47841624497437546,0.22305698336177046,0.4868640186659442,0.474719124255231,0.6671760510274193,85.02761688232422,0.0005994796752929688
283,LogReg_f1,ternary,10+20,0.4740163398527698,0.22256094457861347,0.48344651513942044,0.4749776660495903,0.6668214543837244,67.18087038993835,0.00039544105529785154
