,param_base_estimator__alpha,mean_test_score
266,596432.6869219966,-0.7325023606128738
267,602448.5390091266,-0.7325469999656049
268,606629.6193196763,-0.732562289301506
269,635617.3237133271,-0.7328058156270778
270,664368.6473574756,-0.7329807749295001
271,670174.2968936956,-0.733040615075513
272,676558.6515476459,-0.7330483545765069
273,677119.5506558116,-0.7330519287088402
274,679400.5235261415,-0.733073011210839
275,680400.5235251415,-0.733067474324724
276,681712.7136303417,-0.733087888855162
277,688014.5188953979,-0.7331359422859663
278,694512.9418287548,-0.7331832687020503
279,694712.8788872139,-0.7331873711667294
280,699108.7476825825,-0.7332251948432166
281,700108.7476815825,-0.7332250845155288
282,711664.2159477059,-0.7332898746615126
283,727240.1436854547,-0.7333982288551464
284,728240.1436844547,-0.7334074472355014
285,734145.398347135,-0.7334533180881981
286,735766.5924529133,-0.7334627354959474
287,736566.9013102747,-0.7334606205527603
288,740268.1531416574,-0.7334977739824194
289,752598.3372095793,-0.7335613466339734
290,758953.6567745904,-0.7335869557619805
291,768253.9346637852,-0.7336488491335834
292,779400.5235251415,-0.7337055729862965
293,784506.857088421,-0.7337204319151891
294,787520.8106011731,-0.7337227226193503
295,797923.3971159834,-0.7337862209884811
296,799108.7476815825,-0.7337876732976573
297,824197.3026664625,-0.7338882622866771
298,827240.1436844547,-0.7339076168768003
299,831148.8567402082,-0.7339338421045196
300,837323.7223118303,-0.7339462077779841
301,847104.0209914431,-0.7339843360152152
302,848846.7194760853,-0.7340035475323654
303,849003.7878840786,-0.7340049659571013
304,867232.3429672903,-0.7340696577479118
305,872708.6430918736,-0.7341078234934466
306,874039.8003753293,-0.7341143971578075
307,880231.1026334962,-0.7341420201912534
308,883538.7027775857,-0.7341688378551037
309,892486.3863300551,-0.7341971146283326
310,895381.8444622754,-0.7342026649584183
311,902104.704587198,-0.7342443013559696
312,923350.3868710184,-0.7343442534246991
313,960909.7422376777,-0.7345014607270824
314,961777.5753091896,-0.734512864618688
315,999741.3066873959,-0.7346681964115337
316,1060728.7447626572,-0.7349477030446838
317,1881619.6003850598,-0.73732383423911
318,1959434.1372675772,-0.73748901189251
319,2050289.523942888,-0.7376939752356921
320,4483058.244803046,-0.7412094478106699
321,4738557.0340821855,-0.7415137938937079
322,5880245.188953979,-0.7426721837808781
323,6794105.2352514155,-0.7435908247470935
324,6991187.476815825,-0.7437679994361914
325,7272501.436844548,-0.7440284770498145
326,13019811.953776881,-0.7483123490111315
327,19587487.356033064,-0.752186323240948
328,35088216.43139192,-0.7580077167507565
329,438085647.46864814,-0.7786462799965381
330,39750.38204469004,-0.72693147018781
331,39750.87596057991,-0.7269314202011945
332,39752.12078059174,-0.7269311053384959
333,39753.762270876745,-0.7269307127315225
334,39754.09955923841,-0.7269300891158457
335,39758.96467240239,-0.7269298998989804
336,39759.475659969256,-0.7269294026050681
337,39761.75907178121,-0.7269303091350864
338,39763.586914786356,-0.7269296953613181
339,39763.981116790994,-0.7269297473706255
340,39764.543805039284,-0.7269307829288059
341,39750.38213895745,-0.7269314701945648
342,39750.87617127494,-0.7269314202216861
343,39752.121257489525,-0.7269311053769144
344,39753.76303920077,-0.7269307128138679
345,39754.100379047886,-0.7269300892000926
346,39758.96591648961,-0.7269299580637207
347,39759.47691406817,-0.7269294025891323
348,39761.76029037791,-0.726930301127719
349,39763.5880104705,-0.7269296953061808
350,39763.982174953635,-0.726929747352066
351,39764.54480287369,-0.7269307829051048
