,avg_cv_predict_time,avg_cv_f1,avg_cv_balanced_accuracy,pad_rag,model_name,avg_cv_fit_time,case
60,0.3101441065470378,0.6260252222581516,0.582861157440489,ragged,AdaBoostClassifier,,ternary
61,0.1275183359781901,0.37508732345597734,0.3465716732302071,padded,AdaBoostClassifier,,ternary
62,0.0,0.34985201056264376,0.3333333333333333,ragged,DummyClassifier,0.0,ternary
63,0.000326236089070638,0.34985201056264376,0.3333333333333333,padded,DummyClassifier,0.0,ternary
64,9.334287881851196,0.8097118869531625,0.7946646672136869,ragged,GaussianProcessClassifier,,ternary
65,9.252634525299072,0.373138577294843,0.3460130145819791,padded,GaussianProcessClassifier,,ternary
66,0.13460389773050943,0.7713259062182183,0.7329294119485739,ragged,LGBMClassifier,,ternary
67,0.11532203356424968,0.34985201056264376,0.3333333333333333,padded,LGBMClassifier,,ternary
68,0.026785612106323242,0.8080711849311116,0.7804793018041035,ragged,LogisticRegression,,ternary
69,0.021000464757283527,0.3753751758422575,0.34711695784278507,padded,LogisticRegression,,ternary
70,0.03254508972167969,0.831624971853965,0.8148987541144405,ragged,MLPClassifier,,ternary
71,0.027667522430419922,0.3696218316109415,0.34356341285475217,padded,MLPClassifier,,ternary
72,0.06065519650777181,0.7988709345782286,0.7887186524441426,ragged,RandomForestClassifier,,ternary
73,0.0633397102355957,0.3756598205560569,0.34735981592878046,padded,RandomForestClassifier,,ternary
74,0.6850139300028483,0.7379735770627782,0.6840852261847491,ragged,SVC,,ternary
75,0.5083465576171875,0.3660267343271917,0.3423976639418193,padded,SVC,,ternary
76,13.898565530776978,0.4909488676500022,0.437015798351571,ragged,StackingClassifier,224.59271971384683,ternary
77,11.449268182118734,0.3609948663575538,0.3363134804411037,padded,StackingClassifier,74.21578653653462,ternary
78,0.028330405553181965,0.8107003911047005,0.7933527619802129,ragged,XGBClassifier,,ternary
79,0.015999555587768555,0.37675645528175944,0.34807906196052646,padded,XGBClassifier,,ternary
80,0.25710264841715497,0.7059620470533243,0.5211645820214229,ragged,AdaBoostClassifier,9.446717103322348,ternary_ovr
81,0.12095069885253906,0.6936737443545126,0.5008366191487211,padded,AdaBoostClassifier,1.2282368342081706,ternary_ovr
82,0.0006662209828694662,0.34985201056264376,0.3333333333333333,ragged,DummyClassifier,0.16823180516560873,ternary_ovr
83,0.0006661415100097656,0.34985201056264376,0.3333333333333333,padded,DummyClassifier,0.6877935727437338,ternary_ovr
84,3.451780319213867,0.6922913518796893,0.4996045478841409,ragged,GaussianProcessClassifier,6.941054026285808,ternary_ovr
85,3.6985510985056558,0.6926595740673004,0.5,padded,GaussianProcessClassifier,7.070688406626384,ternary_ovr
86,0.12616459528605142,0.6931269679109033,0.5002363797305523,ragged,LGBMClassifier,4.3669813474019366,ternary_ovr
87,0.11133337020874023,0.6926595740673004,0.5,padded,LGBMClassifier,0.3883346716562907,ternary_ovr
88,0.023311853408813477,0.740622876087472,0.5564519782551874,ragged,LogisticRegression,2.203612804412842,ternary_ovr
89,0.020991166432698567,0.6926595740673004,0.5,padded,LogisticRegression,2.056694507598877,ternary_ovr
90,0.03133416175842285,0.7420596729789076,0.5657761327607734,ragged,MLPClassifier,15.466578483581543,ternary_ovr
91,0.02199975649515788,0.6933972088196342,0.500482762106966,padded,MLPClassifier,6.996949116388957,ternary_ovr
92,0.053392648696899414,0.6923911158553006,0.4996461429582449,ragged,RandomForestClassifier,0.6921632289886475,ternary_ovr
93,0.058611392974853516,0.6926595740673004,0.5,padded,RandomForestClassifier,0.2922453085581462,ternary_ovr
94,0.5636700789133707,0.6926618922091955,0.49919623900515625,ragged,SVC,4.40827997525533,ternary_ovr
95,0.31085920333862305,0.6926595740673004,0.5,padded,SVC,2.2815014521280923,ternary_ovr
96,14.541615962982178,0.47768220173046694,0.42226633877886416,ragged,StackingClassifier,330.8156428337097,ternary_ovr
97,12.928171237309774,0.36182465458976165,0.33717157446019,padded,StackingClassifier,116.37134750684102,ternary_ovr
98,0.02008787790934245,0.6972849897068348,0.5073006774559264,ragged,XGBClassifier,6.190351645151774,ternary_ovr
99,0.016666332880655926,0.6926595740673004,0.5,padded,XGBClassifier,2.0373334089914956,ternary_ovr
