,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_penalty,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
19,96.37337748209636,30.74824476712873,4.745132128397624,2.245261150378875,0.01,log,l2,"{'alpha': 0.01, 'loss': 'log', 'penalty': 'l2'}",0.6413483225289999,0.6376261214558321,0.637176481185484,0.6387169750567719,0.0018696766623991022,10,-0.8167449283769165,-0.8170490014976879,-0.8192778574375558,-0.81769059577072,0.0011292076322060242,5
20,122.48715964953105,16.50427635466525,20.753445625305176,14.546322855835266,0.01,modified_huber,elasticnet,"{'alpha': 0.01, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.6498773022982008,0.6500700939934232,0.6458636992714742,0.6486036985210327,0.0019390700649405109,8,-1.0058942950725656,-0.9844177586746565,-0.9736859760124854,-0.9879993432532359,0.013390662548684647,10
21,65.59321546554565,14.696234139249333,5.422743638356526,1.41113987356607,0.01,modified_huber,l2,"{'alpha': 0.01, 'loss': 'modified_huber', 'penalty': 'l2'}",0.672191177128752,0.6708551899959136,0.669600623667819,0.6708823302641616,0.0010577631285274766,2,-1.1691499616694494,-1.1623841043420733,-1.1606818599069757,-1.1640719753061661,0.003657309407973146,12
22,88.94160103797913,2.4605720377299503,3.1668269634246826,0.25020560912378587,0.01,squared_hinge,elasticnet,"{'alpha': 0.01, 'loss': 'squared_hinge', 'penalty': 'elasticnet'}",,,,,,20,,,,,,19
23,514.9972968101501,294.96058576834156,53.78530581792196,26.534797864735864,0.01,squared_hinge,l2,"{'alpha': 0.01, 'loss': 'squared_hinge', 'penalty': 'l2'}",,,,,,19,,,,,,18
24,527.1237448851267,232.93902928639548,28.762230316797893,23.80543286271336,0.1,hinge,elasticnet,"{'alpha': 0.1, 'loss': 'hinge', 'penalty': 'elasticnet'}",,,,,,18,,,,,,17
25,571.5393592516581,196.8671239022571,22.194892565409344,19.27773025742758,0.1,hinge,l2,"{'alpha': 0.1, 'loss': 'hinge', 'penalty': 'l2'}",,,,,,17,,,,,,20
26,110.04404902458191,28.440593839675515,4.641724348068237,2.2967602187314955,0.1,log,elasticnet,"{'alpha': 0.1, 'loss': 'log', 'penalty': 'elasticnet'}",0.4019421153697699,0.41111710362159776,0.4096934021192869,0.40758420703688486,0.0040316770933046695,16,-1.095879644401827,-1.0956961745002272,-1.0955797848241293,-1.0957185345753944,0.00012343398047913025,11
27,59.9618767897288,15.958435387935479,3.2138161659240723,1.3912544662953978,0.1,log,l2,"{'alpha': 0.1, 'loss': 'log', 'penalty': 'l2'}",0.5858836161017469,0.5852363367111799,0.5820986250917594,0.5844061926348955,0.001652955661225132,14,-0.935181972994123,-0.9335518358048632,-0.9357073263421062,-0.9348137117136974,0.0009176953532378306,8
28,75.59327260653178,22.75312033479349,34.49123446146647,29.2312919398751,0.1,modified_huber,elasticnet,"{'alpha': 0.1, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.5432583353213792,0.5456137831880259,0.5412371843068939,0.5433697676054331,0.0017884755719193655,15,-0.9784562787707757,-0.9769614418766253,-0.9819702690246658,-0.9791293298906889,0.002099497671229837,9
29,84.04968690872192,2.0708024616197873,14.751835823059082,9.289055373900162,0.1,modified_huber,l2,"{'alpha': 0.1, 'loss': 'modified_huber', 'penalty': 'l2'}",0.6401560280321227,0.6375713418014605,0.6384712365449065,0.6387328687928299,0.0010712887262883603,9,-0.9001811144351075,-0.9030982047815753,-0.8975287427502111,-0.9002693539889646,0.0022745793008599165,7
30,74.42852075894673,42.470141015920916,2.333742539087931,0.7628321781909057,0.1,squared_hinge,elasticnet,"{'alpha': 0.1, 'loss': 'squared_hinge', 'penalty': 'elasticnet'}",,,,,,24,,,,,,24
31,41.32305105527242,13.44961412917494,1.6249971389770508,0.06378577803368639,0.1,squared_hinge,l2,"{'alpha': 0.1, 'loss': 'squared_hinge', 'penalty': 'l2'}",,,,,,32,,,,,,32
