,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_solver,param_positive,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21,73.2485511302948,22.077567523764866,3.1700048446655273,1.1131058587019704,0.8,True,auto,,"{'alpha': 0.8, 'fit_intercept': True, 'solver': 'auto'}",0.7034622077244426,0.7035152203670818,0.7075691183868971,0.7048488488261405,0.0019236428025067483,13
22,237.13236633936563,57.32679731930011,3.4889156818389893,0.2800021816783015,0.8,True,lsqr,,"{'alpha': 0.8, 'fit_intercept': True, 'solver': 'lsqr'}",0.6990471963488223,0.6956983232854098,0.7007828026909886,0.6985094407750735,0.0021102714674123514,24
23,363.2212478319804,51.469253585251835,9.840251366297403,3.463278267146242,0.8,True,svd,,"{'alpha': 0.8, 'fit_intercept': True, 'solver': 'svd'}",0.7034622077244426,0.7035152203670818,0.7075691183868971,0.7048488488261405,0.0019236428025067483,13
24,69.16492017110188,16.438369385642222,15.069042682647705,11.390130224908967,1.0,False,auto,,"{'alpha': 1.0, 'fit_intercept': False, 'solver': 'auto'}",0.703209254017644,0.7034282567137535,0.7079503492101251,0.7048626199805076,0.0021851841099858283,11
25,139.70155922571817,8.750351124204732,35.3745170434316,18.598635817058643,1.0,False,lsqr,,"{'alpha': 1.0, 'fit_intercept': False, 'solver': 'lsqr'}",0.6971572338382935,0.6944068509396618,0.6999121893080381,0.6971587580286646,0.002247545235725156,30
26,338.52266971270245,103.29725511165991,15.66486899058024,8.40756250572386,1.0,False,svd,,"{'alpha': 1.0, 'fit_intercept': False, 'solver': 'svd'}",0.703209254017644,0.7034282567137535,0.7079503492101251,0.7048626199805076,0.0021851841099858283,11
27,176.88904404640198,7.01364608515086,7.346131801605225,6.291403539376294,1.0,True,auto,,"{'alpha': 1.0, 'fit_intercept': True, 'solver': 'auto'}",0.7031341782898175,0.7033051189833978,0.7074294528787028,0.704622916717306,0.0019857473990249255,17
28,184.23482783635458,41.28773725699185,11.9036971728007,2.8524217370658036,1.0,True,lsqr,,"{'alpha': 1.0, 'fit_intercept': True, 'solver': 'lsqr'}",0.6987344818978166,0.6957631634266751,0.7007938644470202,0.6984305032571706,0.0020649924050711024,25
29,276.84964934984845,21.015576743576464,11.074536164601644,10.002021713588782,1.0,True,svd,,"{'alpha': 1.0, 'fit_intercept': True, 'solver': 'svd'}",0.7031341782898175,0.7033051189833978,0.7074294528787028,0.704622916717306,0.0019857473990249255,17
30,111.52889045079549,29.31031467563216,7.470224698384603,2.0227118809507854,0.2,False,lbfgs,True,"{'alpha': 0.2, 'fit_intercept': False, 'positive': True, 'solver': 'lbfgs'}",0.6581012193197685,0.6508343759974149,0.6586624236551929,0.6558660063241254,0.0035652690768046926,40
31,128.4253624280294,27.097395539386508,6.683282295862834,0.9810021714872175,0.2,True,lbfgs,True,"{'alpha': 0.2, 'fit_intercept': True, 'positive': True, 'solver': 'lbfgs'}",0.6599581935367776,0.655090244193886,0.6596629797149823,0.6582371391485488,0.002228452182106957,33
32,67.66809407869975,11.353527009691446,23.72187391916911,26.893188867789362,0.4,False,lbfgs,True,"{'alpha': 0.4, 'fit_intercept': False, 'positive': True, 'solver': 'lbfgs'}",0.6592290304059837,0.6552616835361548,0.6560621158173902,0.6568509432531763,0.0017130181627703996,38
33,121.11435413360596,15.355955554209135,16.531359990437824,6.882308438433836,0.4,True,lbfgs,True,"{'alpha': 0.4, 'fit_intercept': True, 'positive': True, 'solver': 'lbfgs'}",0.6589521692776652,0.654844853155755,0.6597108903861363,0.6578359709398521,0.002137600466078193,36
34,110.81372809410095,21.307446976493196,25.19748791058858,3.6766388906045693,0.6,False,lbfgs,True,"{'alpha': 0.6, 'fit_intercept': False, 'positive': True, 'solver': 'lbfgs'}",0.6585918778012047,0.6551152346936159,0.6592818269603155,0.6576629798183786,0.0018234146312351856,37
35,173.60019262631735,18.877732312344794,36.978786389033,21.6728586078754,0.6,True,lbfgs,True,"{'alpha': 0.6, 'fit_intercept': True, 'positive': True, 'solver': 'lbfgs'}",0.6589245021683248,0.6548864932545894,0.659782836847918,0.657864610756944,0.0021348024887440464,34
36,161.65410375595093,35.69945223959481,33.95262098312378,21.62994189520846,0.8,False,lbfgs,True,"{'alpha': 0.8, 'fit_intercept': False, 'positive': True, 'solver': 'lbfgs'}",0.6592682051811414,0.655261062036311,0.6590038954604669,0.6578443875593064,0.0018298712113935854,35
37,198.11750992139181,38.42213564424443,46.33676735560099,23.84887341218691,0.8,True,lbfgs,True,"{'alpha': 0.8, 'fit_intercept': True, 'positive': True, 'solver': 'lbfgs'}",0.6588969963614244,0.6560390061279229,0.6599592402014819,0.6582984142302765,0.0016554524504739986,32
38,144.79599038759866,47.533799677527014,4.361331383387248,1.4379317040019266,1.0,False,lbfgs,True,"{'alpha': 1.0, 'fit_intercept': False, 'positive': True, 'solver': 'lbfgs'}",0.6586309434306834,0.655091493023409,0.6544109393781361,0.6560444586107428,0.0018499038008971947,39
39,112.65056244532268,3.544557743933191,1.6668014526367188,0.184174431874956,1.0,True,lbfgs,True,"{'alpha': 1.0, 'fit_intercept': True, 'positive': True, 'solver': 'lbfgs'}",0.659959986913814,0.6562637842402831,0.6600134214449552,0.6587457308663507,0.0017551368613807304,31
